CustomerID,Recency,Frequency,Monetary,product_category,restaurant_type,purchase_date
CUST0001,103,4,21589.787550105542,especias,fine_dining,2025-04-23
CUST0002,349,6,1890.5132697515821,pescado,fine_dining,2024-08-20
CUST0003,271,2,8050.120122341724,marisco,casual,2024-11-06
CUST0004,107,7,18685.178422811652,pescado,fine_dining,2025-04-19
CUST0005,72,5,1552.7412616719512,carne,casual,2025-05-24
CUST0006,189,4,13484.899937748134,pescado,casual,2025-01-27
CUST0007,21,6,40686.04654138529,marisco,fine_dining,2025-07-14
CUST0008,103,8,54470.61545107807,carne,hotel,2025-04-23
CUST0009,122,8,6786.736503952322,carne,fine_dining,2025-04-04
CUST0010,215,6,58079.98315896773,especias,hotel,2025-01-01
CUST0011,331,10,49676.47197837741,carne,fine_dining,2024-09-07
CUST0012,88,8,1732.4285491629648,carne,fine_dining,2025-05-08
CUST0013,100,3,16663.26873359625,pescado,casual,2025-04-26
CUST0014,360,11,18612.699530937094,carne,casual,2024-08-09
CUST0015,152,5,67776.1338522935,queso,casual,2025-03-05
CUST0016,131,8,19762.770064222652,especias,casual,2025-03-26
CUST0017,150,6,59808.38967077515,especias,casual,2025-03-07
CUST0018,309,8,6798.032428814226,carne,casual,2024-09-29
CUST0019,258,9,3002.260946368868,pescado,casual,2024-11-19
CUST0020,344,6,7764.613800115869,especias,hotel,2024-08-25
CUST0021,294,5,71837.26436278393,especias,hotel,2024-10-14
CUST0022,192,7,37462.269770029336,queso,casual,2025-01-24
CUST0023,277,11,151392.58152766866,carne,hotel,2024-10-31
CUST0024,161,5,3504.631787930283,especias,fine_dining,2025-02-24
CUST0025,314,5,42044.84920228958,especias,hotel,2024-09-24
CUST0026,22,4,31572.330084877125,especias,casual,2025-07-13
CUST0027,253,6,11157.34661133379,especias,hotel,2024-11-24
CUST0028,236,3,32244.339184394703,pescado,fine_dining,2024-12-11
CUST0029,345,9,17070.976109678402,marisco,hotel,2024-08-24
CUST0030,49,7,23516.973159422654,queso,casual,2025-06-16
CUST0031,59,7,29311.057620215295,pescado,fine_dining,2025-06-06
CUST0032,170,5,39548.359027316495,queso,fine_dining,2025-02-15
CUST0033,188,7,16187.29334694472,especias,hotel,2025-01-28
CUST0034,271,4,87772.73890688232,queso,fine_dining,2024-11-06
CUST0035,190,5,11961.45721848394,carne,fine_dining,2025-01-26
CUST0036,175,5,97628.79959346882,carne,fine_dining,2025-02-10
CUST0037,51,6,4804.586480953629,marisco,casual,2025-06-14
CUST0038,364,3,5541.999644679669,marisco,fine_dining,2024-08-05
CUST0039,55,4,5876.166782863934,queso,hotel,2025-06-10
CUST0040,244,8,38639.52393445877,pescado,hotel,2024-12-03
CUST0041,320,9,6632.311511465456,pescado,fine_dining,2024-09-18
CUST0042,131,6,65860.59212761385,especias,hotel,2025-03-26
CUST0043,307,2,8766.531184293503,pescado,fine_dining,2024-10-01
CUST0044,135,8,22124.83216835908,marisco,hotel,2025-03-22
CUST0045,21,8,28148.735470077183,pescado,fine_dining,2025-07-14
CUST0046,329,4,5374.5270739810785,especias,fine_dining,2024-09-09
CUST0047,167,8,3693.747296412308,carne,fine_dining,2025-02-18
